OTU_ID,OB05_CA122A2,OB08_CA10,OB11_CA58A1,OB13_CA50B,OB18_CA51A3A,OB21_CA51A3,OB23_T046B4,OB25_T037A2,OB26_T037,OB29_T068C1,OB31_T023D3,OB32_T073A2,OB33_T073A1,OB35_T101B,OB37_T100F,FP_T101A_M_BC_OA,OB40_T060D,OB41_T060E
Zotu2971,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
Zotu2972,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0
Zotu2977,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Zotu2981,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2992,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2995,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0
Zotu2996,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,4,0,0
Zotu2998,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7
Zotu3000,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,3
Zotu3001,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,0,0
Zotu3003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Zotu3014,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
Zotu3015,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,3,8
Zotu3016,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Zotu3017,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Zotu3019,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,4,0
Zotu302,9,0,0,0,5,4,56,89,16,73,102,119,56,53,33,28,101,66
Zotu3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Zotu3026,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0
Zotu3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6
Zotu3029,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6
Zotu3030,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,4,0
Zotu3042,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3048,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
Zotu305,53,0,66,0,0,11,121,113,29,172,17,17,29,37,32,44,33,41
Zotu3051,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3058,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0
Zotu3060,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0
Zotu3063,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0
Zotu3064,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,12
Zotu3074,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,0
Zotu3078,0,0,0,0,0,0,3,4,0,0,3,4,0,0,0,0,0,0
Zotu3081,9,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Zotu3082,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Zotu3083,0,0,0,0,0,0,0,0,0,0,0,5,9,0,3,4,0,0
Zotu3084,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Zotu3086,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,4
Zotu3088,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0
Zotu3089,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,10
Zotu309,0,0,0,0,0,0,104,110,25,67,99,49,59,55,73,67,98,100
Zotu3090,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Zotu3092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Zotu3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Zotu3096,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,4
Zotu3100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,5
Zotu3103,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,3
Zotu3107,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Zotu311,0,0,0,0,0,5,86,83,24,101,63,42,48,39,65,55,71,92
Zotu3113,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu312,0,0,0,0,0,0,8,46,65,9,6,4,0,85,100,113,61,102
Zotu3120,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0
Zotu3121,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Zotu3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0
Zotu3130,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0
Zotu3131,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Zotu3132,0,0,0,0,0,0,0,4,0,0,0,0,3,5,0,0,0,0
Zotu3133,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0
Zotu3136,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
Zotu3139,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,8,0,3
Zotu3142,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3146,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
Zotu3147,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Zotu3149,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0
Zotu3155,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Zotu3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Zotu3159,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0
Zotu3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Zotu3163,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Zotu3164,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4
Zotu3165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Zotu3171,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Zotu3173,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0
Zotu3186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0
Zotu319,8,0,0,0,0,0,82,56,20,84,72,119,72,44,139,59,52,61
Zotu320,0,0,10,0,0,0,7,3,38,30,18,99,19,66,20,70,31,112
Zotu3203,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,3
Zotu3207,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,7
Zotu321,0,0,0,0,0,0,4,0,3,3,0,0,0,121,129,277,87,147
Zotu3216,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,4,0
Zotu3217,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,4,0,0
Zotu3221,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
Zotu3223,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Zotu3225,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8
Zotu3227,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Zotu323,0,0,0,0,0,0,259,249,72,103,7,21,7,15,9,7,4,11
Zotu3230,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0
Zotu3231,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0
Zotu3232,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,8,0,0
Zotu3235,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0
Zotu3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0
Zotu3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Zotu3246,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Zotu3250,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0
Zotu3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
Zotu3277,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0
Zotu3278,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3279,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Zotu3281,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0
Zotu3284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Zotu3289,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Zotu329,96,44,0,0,16,196,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3291,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Zotu3292,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
Zotu3295,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0
Zotu3298,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0
Zotu3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Zotu3300,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0
Zotu3302,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0
Zotu3306,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0
Zotu3310,0,0,0,0,0,0,0,5,0,0,0,0,6,0,4,0,0,0
Zotu3315,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Zotu3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Zotu3319,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0
Zotu3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Zotu3322,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
Zotu3327,0,0,0,0,0,0,0,0,0,0,6,0,4,5,0,0,0,0
Zotu3329,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3
Zotu3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Zotu3335,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0
Zotu3343,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Zotu3346,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Zotu3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
Zotu3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Zotu3352,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
Zotu3357,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3360,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3368,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3372,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Zotu3377,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,0
Zotu3381,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0
Zotu3382,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Zotu3384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Zotu3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Zotu3392,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0
Zotu3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Zotu3410,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0
Zotu3411,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
Zotu3412,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Zotu3415,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0
Zotu342,0,0,0,0,0,0,91,39,20,171,64,38,34,66,47,38,39,60
Zotu3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
Zotu3425,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
Zotu3429,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
Zotu3430,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0
Zotu3433,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Zotu3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Zotu3435,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
Zotu3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Zotu3437,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4
